U_Code,NP_Code,NP_Name
1,1,Акинфиевское с.
1,2,Акинфиевское с. = Иоакинф.с.
1,3,Алапаевск г. (Алапаевский з.)
1,4,Арамашевское с. (Аромашевское)
1,5,Балакинское с.
1,6,Баранчинский з. (Нижнебаранчинский)
1,7,Башкарское с.
1,8,Богословский з.
1,9,Болотовское с.
1,10,Борисовское с.
1,11,Бродовское с.
1,12,Верхнебаранчинский з.
1,13,Верхнесалдинский з.
1,14,Верхнесинячихинский з.
1,15,Верхнетуринский з.
1,16,Верхотурье г.
1,17,Висимо-Уткинский з.
1,18,Висимо-Шайтанский (Шайтанский) з.
1,19,Воскресенское (Шиловка) с.
1,20,Всеволодоблагодатский з.
1,21,Глинское с.
1,22,Гостьковское  с.
1,23,Дерябинское с. (Дерябинский пог.)
1,24,Екатеринбургский прииск
1,25,Елизаветинское с.
1,26,Елкинское с.
1,27,Ивановское с. (Андриановичи)
1,28,Кишкинское с. (Кишкинский пог.)
1,29,Комаровское с.
1,30,Коптеловское с. (Коптеловская сл.)
1,31,Коптяковское с.
1,32,Кошайское с. (Кошайский пог.)
1,33,Красногорское с.
1,34,Краснопольское с.
1,35,Кушвинский з.
1,36,Лайский з.
1,37,Леневское с.
1,38,Лирайское с.
1,39,"Лялинское с. (Караульское) (Лялинская сл., Лялинский пог.)"
1,40,Ляля-Титовское с.
1,41,Медведевское с.
1,42,Мелкозеровское с.
1,43,Меркушинское с. (Меркушинский пог.)
1,44,Мироновское с.
1,45,Мугайское с. (Мугайский пог.)
1,47,Мурзинское с. (Мурзинская сл.)
1,48,Надеждинск г.
1,49,Надеждинский з.
1,50,Невьянское экономическое с. (Невьянская экономическая сл.)
1,51,Нижнесалдинский (Салдинский) з.
1,52,Нижнесинячихинский з.
1,53,Нижнетагильский з.
1,54,Нижнетуринский з.
1,55,Никито-Ивдельское с.
1,56,Нижнетуринское Николаевск. исправ. арест. отделение
1,57,Николае-Павдинский з. (Павдинский)
1,58,Николо-Павловское (Павловское) с.
1,59,Никольское (Николаевское) с.
1,60,Новая Ляля
1,61,Новопаньшинское с.
1,62,Новотуринское с.
1,63,Останинское с. (прих.Нев.Экон.с.)
1,64,Отрадновское с.
1,65,Петрокаменский з.
1,66,Петропавловский з. (Петропавловское с.)
1,67,Пийское с. (Пиинское)
1,68,Романовское с. (Романова д.)
1,69,Рычковское с.
1,70,Салдинский з.
1,71,Салдинское с. (Салдинский пог.)
1,72,Салтановское с.
1,73,Сосьвинский з.
1,74,"Нижнесусанский (Сусанский, Нейво-Шайтанский) з."
1,75,Тагильская сл. (Махневское с.)
1,76,Титовское с.
1,77,Турьинские руд. (Суходойский руд.)
1,78,Усть Уткинская пристань д.
1,79,Усть-Салдинское с.
1,80,Усть-Хмелевское с.
1,81,Флоровский руд.
1,82,Фоминское с. (Фоминский пог.)
1,83,Черноисточинский з.
1,84,Черноисточинское с.
1,85,Шипицинское с.
1,86,Южаковское с.
2,87,Абрамовское с.
2,88,Аверинское с.
2,89,Арамильская вол.
2,90,Арамильское с. (Арамильская сл.)
2,91,Аромашковское с.
2,92,Асбестовые копи
2,93,Аятское с. (Аятская сл.)
2,94,Багарякское с. (Багарякская сл.)
2,95,Басмановское с.
2,96,Белоярское с. (Белоярская сл.)
2,97,Березовский з.
2,98,Билимбаевский з.
2,99,Бобровское с.
2,100,Боевское с. (Боевская сл.)
2,102,"Бруснятское с. (Брусницынское, Троицко-Бруснят., до 1870 г. Троицкое)"
2,103,Брусянское (Большебрусянское) с. (Брусянская сл.)
2,104,Булзинское с.
2,105,Быньговский з.
2,106,Васильево-Шайтанский (Шайтанский) з.
2,107,Верх-Исетский з.
2,108,Верх-Нейвинский з.
2,109,Верхнетагильский з.
2,110,Верхнеуфалейский з.
2,111,"Верх-Теченское с. (Метлинское, Метлино)"
2,112,Воскресенское с. (Нововоскресенское)
2,113,Гаево с.
2,114,Глинская вол.
2,115,Глинское с. (Глинская сл.)
2,116,Горнощитское с.
2,117,Гробовское с. (Гробовская кр.)
2,118,Губернское с. (д.)
2,119,Екатеринбург г.
2,120,"Истокское с. (Карасе-Истокское, Троицкое)"
2,121,Кабанское с.
2,122,Кайгородское с.
2,123,Камышевское с.
2,124,Карабольское с.
2,125,Каслинский з.
2,126,Кипринское с.
2,127,Кисловское с.
2,128,Клевакинское с.
2,129,Ключевское с.
2,130,Колюткина д.(прих.Брусянск.с.)
2,131,"Коневское с. (Коневская кр., Коневская сл.)"
2,132,Костоусовское с.
2,133,Косулинское с.
2,134,Кочневское с.
2,135,Красноярское с.
2,136,Кузнецкое с. (Ирдягинская вотч.)
2,137,Кунгурское с.
2,138,Кургановское с.
2,139,Куяшское с.
2,140,Кыштымский з.
2,141,Ларинское с.
2,142,Леневское с.
2,143,Липовское с.
2,144,Логиновское с. (Логиновская сл.)
2,145,Мало-Брусянское с. (Малобрусянское)
2,146,Маминское с. (Маминская сл.)
2,147,Мариинский з.
2,148,Медный руд.
2,149,Мезенское с.
2,150,Мостовский прииск (пр.Мостов. с.)
2,151,Мостовское с.
2,152,Мраморский з.
2,153,Невьянский з.
2,154,Нейво-Рудянский з.
2,155,Нижнее с.
2,156,Нижнеисетский з.
2,157,Нижнеуфалейский з.
2,158,"Никольское с. (Николае-Боевское, Николаевское)"
2,159,Ново-Алексеевское с.
2,160,Ново-Ипатовское с. (Новоипатовское)
2,161,Нязепетровский з.
2,162,Огневское с.
2,163,Останинское с.
2,164,Першинское с.(прих.Глинск.сл.)
2,165,Покровская вол.
2,166,Покровское с.
2,167,Полдневское с. (4 благочиние)
2,168,Полевской з.
2,169,Походилова д.(пр.Истокск. с.)
2,170,Пышминский з.
2,171,Ревдинский з.
2,172,Режевской з.
2,173,Сарапульское с. (д.)
2,174,Северский з.
2,175,Седельниковское с.
2,176,Смолинское с. (Смолинская сл.)
2,177,Сосновское с.
2,178,Суворское с.
2,179,Сысертский з.
2,180,Темновское с. (Темное)
2,181,Тиминское с. (Предтеченское)
2,182,Троицкое с. (с 1870 г. Бруснятское)
2,183,Тюбукское с.
2,184,Уктусский з. (Уктусское с.)
2,185,Уткинский з. (Ново-Уткинский)
2,186,"Уткинское с. (Уткинская сл., Уткинская казенная пристань)"
2,187,Уфалейский з.
2,190,Хромцовское с.
2,191,Хуторы с. (Малый Исток)
2,192,Чердынцевское с. (Чердынское)
2,193,Черемисское с. (Черемисская сл.)
2,194,Черноусовское с.
2,195,Шайдурихинское с.
2,196,Шайтанское с.
2,197,Шарташское с.
2,198,Шипелова д.
2,199,Шуралинский з.
2,200,Щелкунское с. (Щелкунская сл.)
2,201,Юшковское с.
3,202,Малаша с.
4,203,Антоновское с. (Антоновская сл.)
4,204,Баженовское с.
4,205,Байкаловское с.
4,206,Белослудское с. (Белослудская сл.)
4,207,Березовское с.
4,208,Бичурское с.
4,209,Бобровское с. (Бобровская сл.)
4,210,Больше-Трифоновское с.
4,211,Боровиковское с.
4,212,Волковское с.
4,213,Голубковское с.
4,214,Городищенское с.
4,215,Гуляевское с. (Гуляевская сл.)
4,216,Егоршинское с.
4,217,Зайковское с. (Зайковская сл.)
4,218,Иленское с. (Иленская сл.)
4,219,Ирбит г.
4,220,Ирбитский з.
4,221,Килачевское с.
4,222,Киргинское с. (Киргинская сл.)
4,223,Клевакина д.
4,224,Клепининское с.
4,225,Ключевское с.
4,226,Костинское с. (Костинская сл.)
4,227,"Красное с. (Красная сл., Красносельское, Краснослободское)"
4,228,Крутихинское с.
4,229,Леневское с.
4,230,Макушинское (припис. к В.Ницин.)
4,231,Микшинское с.
4,232,Мироновское с.
4,233,Мостовское с.
4,234,Невьянское с. (Невьянская сл.)
4,235,Ницинское с. (Ницинская сл.)
4,236,Осинцевское с.
4,237,Писанское с.
4,238,Подволощенское с. (Знаменское)
4,239,Покровское с.
4,240,Пьянковское с.
4,241,Скородумское с. (Скородумская сл.)
4,242,Стриганское с. (Стриганская сл.)
1,584,Филькинское с.
5,606,Новоюрмытское с.
4,243,Нижнесусанский з. (Сусанский)
4,244,Харловское с. (Харловская сл.)
4,245,Черновское с.
4,246,Чернорицкое с.
4,247,Чубаровское с. (Чубаровская сл.)
4,248,Чурманское с. (Чурманская сл.)
4,249,Шадринское с.
4,250,Шмаковское с. (Шмаковская сл.)
4,251,"Шогришское с. (Шогринское; Шогринская, Шогришская сл.)"
4,252,Яланское с. (Верх-Ницинское)
4,253,Ялунинское с.
4,254,Ярославское с.
5,255,Балаирское с. (Балаирская сл.)
5,256,Барабановское с.
5,257,Баюновское с. прип. к Троицкому с.
5,258,Беляковское с. (Беляковская сл.)
5,259,Боровлянское с. (Боровлянка д. Четкарин.прих.)
5,260,Верх-Ключевское с.
5,261,Вновь-Юрмытское с. (Новоюрмытское)
5,262,Водолазовское с.
5,263,Волковское с. (1 благ. окр.)
5,264,Волковское с. (2 благ.окр.)
5,265,Володинское с.
5,266,Галкинское с.
5,267,Гарашинское с.
5,268,Горбуновское с.
5,269,Грязновское с.
5,270,Грязнухинское с.
5,271,Ертарский з. (Ертарское с.)
5,272,Завьяловское с.
5,273,Закамышловское с.
5,274,Захаровское с.
